BranchName,Date,Model,WindowsVersion,ProfileName,StartTime,FinishTime,TotalTime,Result
DC,7/22/2026,HP EliteDesk 800 G4 SFF,Microsoft Windows 11 Pro 25H2,Test-Profile,3:57 PM,4:06 PM,0:09:00,Success
DC,7/22/2026,HP EliteDesk 800 G4 SFF,Microsoft Windows 11 Pro 25H2,A-Test-Profile,10:49 PM,11:03 PM,0:13:58,Success
DC,7/23/2026,HP EliteDesk 800 G4 SFF,Microsoft Windows 11 Pro 25H2,A-Test-Profile,3:50 PM,4:05 PM,0:14:50,SoftwareError
DC,7/23/2026,HP EliteDesk 800 G4 SFF,Microsoft Windows 11 Pro 25H2,A-Test-Profile,5:04 PM,5:21 PM,0:16:40,Success
DC,7/23/2026,HP EliteDesk 800 G4 SFF,Microsoft Windows 11 Pro 25H2,Default-Profile,6:14 PM,6:21 PM,0:06:32,Success
DC,7/23/2026,HP EliteDesk 800 G4 SFF,Microsoft Windows 11 Pro 25H2,Default-Profile,6:59 PM,7:00 PM,0:01:26,Success
DC,7/23/2026,HP EliteDesk 800 G4 SFF,Microsoft Windows 11 Pro 25H2,Default-Profile,7:51 PM,7:56 PM,0:05:25,Success
DC,7/23/2026,HP EliteDesk 800 G4 SFF,Microsoft Windows 11 Pro 25H2,Default-Profile,8:08 PM,8:14 PM,0:05:17,Success
DC,7/23/2026,HP EliteDesk 800 G4 SFF,Microsoft Windows 11 Pro 25H2,Default-Profile,8:42 PM,8:48 PM,0:05:16,Success
DC,7/23/2026,HP EliteDesk 800 G4 SFF,Microsoft Windows 11 Pro 25H2,Default-Profile,8:57 PM,8:58 PM,0:01:25,Success
ATL,7/22/2026,HP EliteDesk 800 G4 SFF,Microsoft Windows 11 Pro 25H2,Test-Profile,3:57 PM,4:06 PM,0:09:00,Success
CH,7/22/2026,HP EliteDesk 800 G4 SFF,Microsoft Windows 11 Pro 25H2,A-Test-Profile,10:49 PM,11:03 PM,0:13:58,Success
DAL,7/23/2026,HP EliteDesk 800 G4 SFF,Microsoft Windows 11 Pro 25H2,A-Test-Profile,3:50 PM,4:05 PM,0:14:50,SoftwareError
LV,7/23/2026,HP EliteDesk 800 G4 SFF,Microsoft Windows 11 Pro 25H2,A-Test-Profile,5:04 PM,5:21 PM,0:16:40,Success
LA,7/23/2026,HP EliteDesk 800 G4 SFF,Microsoft Windows 11 Pro 25H2,Default-Profile,6:14 PM,6:21 PM,0:06:32,Success
LA,7/23/2026,HP EliteDesk 800 G4 SFF,Microsoft Windows 11 Pro 25H2,Default-Profile,6:59 PM,7:00 PM,0:01:26,Success
ORL,7/23/2026,HP EliteDesk 800 G4 SFF,Microsoft Windows 11 Pro 25H2,Default-Profile,7:51 PM,7:56 PM,0:05:25,Success
ENG,7/23/2026,HP EliteDesk 800 G4 SFF,Microsoft Windows 11 Pro 25H2,Default-Profile,8:08 PM,8:14 PM,0:05:17,Success
ENG,7/23/2026,HP EliteDesk 800 G4 SFF,Microsoft Windows 11 Pro 25H2,Default-Profile,8:42 PM,8:48 PM,0:05:16,Success
ENG,7/23/2026,HP EliteDesk 800 G4 SFF,Microsoft Windows 11 Pro 25H2,Default-Profile,8:57 PM,8:58 PM,0:01:25,Success
